datetime,open,high,low,close,volume
2019-09-26 11:25:00,1.573,1.574,1.572,1.573,18716
2019-09-26 11:26:00,1.573,1.574,1.572,1.573,49000
2019-09-26 11:27:00,1.572,1.572,1.5710000000000002,1.572,21367
2019-09-26 11:28:00,1.5710000000000002,1.572,1.5699999999999998,1.5710000000000002,26105
2019-09-26 11:29:00,1.572,1.572,1.568,1.569,33303
2019-09-26 11:30:00,1.569,1.5699999999999998,1.569,1.5699999999999998,654
2019-09-26 13:00:00,1.568,1.5699999999999998,1.566,1.566,146434
2019-09-26 13:01:00,1.566,1.568,1.566,1.568,34063
2019-09-26 13:02:00,1.567,1.568,1.566,1.567,26410
2019-09-26 13:03:00,1.567,1.567,1.566,1.567,6541
2019-09-26 13:04:00,1.567,1.567,1.566,1.566,32511
2019-09-26 13:05:00,1.566,1.566,1.565,1.566,16848
2019-09-26 13:06:00,1.566,1.566,1.565,1.566,14658
2019-09-26 13:07:00,1.566,1.569,1.566,1.569,15111
2019-09-26 13:08:00,1.569,1.5699999999999998,1.568,1.5699999999999998,20542
2019-09-26 13:09:00,1.5699999999999998,1.572,1.5699999999999998,1.572,7447
2019-09-26 13:10:00,1.573,1.573,1.572,1.572,16434
2019-09-26 13:11:00,1.572,1.573,1.5710000000000002,1.572,20858
2019-09-26 13:12:00,1.572,1.572,1.5710000000000002,1.5710000000000002,10694
2019-09-26 13:13:00,1.5710000000000002,1.5710000000000002,1.5710000000000002,1.5710000000000002,21971
2019-09-26 13:14:00,1.5710000000000002,1.5710000000000002,1.5699999999999998,1.5710000000000002,6935
2019-09-26 13:15:00,1.5710000000000002,1.572,1.5699999999999998,1.572,21375
2019-09-26 13:16:00,1.572,1.573,1.5710000000000002,1.573,4233
2019-09-26 13:17:00,1.573,1.573,1.5710000000000002,1.572,12014
2019-09-26 13:18:00,1.572,1.574,1.572,1.574,8892
2019-09-26 13:19:00,1.573,1.574,1.572,1.573,36464
2019-09-26 13:20:00,1.573,1.573,1.5710000000000002,1.5710000000000002,56477
2019-09-26 13:21:00,1.5699999999999998,1.572,1.5699999999999998,1.5710000000000002,26993
2019-09-26 13:22:00,1.5710000000000002,1.572,1.5710000000000002,1.572,2717
2019-09-26 13:23:00,1.572,1.572,1.569,1.569,30086
2019-09-26 13:24:00,1.569,1.5699999999999998,1.568,1.569,28837
2019-09-26 13:25:00,1.568,1.5699999999999998,1.568,1.568,5264
2019-09-26 13:26:00,1.569,1.569,1.568,1.569,15968
2019-09-26 13:27:00,1.569,1.569,1.568,1.569,12647
2019-09-26 13:28:00,1.5699999999999998,1.5699999999999998,1.568,1.569,6528
2019-09-26 13:29:00,1.569,1.569,1.568,1.569,15702
2019-09-26 13:30:00,1.569,1.5699999999999998,1.569,1.5699999999999998,4973
2019-09-26 13:31:00,1.5699999999999998,1.5710000000000002,1.569,1.5710000000000002,13148
2019-09-26 13:32:00,1.5710000000000002,1.5710000000000002,1.5699999999999998,1.5710000000000002,2594
2019-09-26 13:33:00,1.572,1.572,1.5710000000000002,1.5710000000000002,2443
2019-09-26 13:34:00,1.5710000000000002,1.5710000000000002,1.5699999999999998,1.5710000000000002,2376
2019-09-26 13:35:00,1.5710000000000002,1.572,1.5710000000000002,1.572,5376
2019-09-26 13:36:00,1.573,1.575,1.572,1.575,8584
2019-09-26 13:37:00,1.574,1.574,1.573,1.573,14620
2019-09-26 13:38:00,1.574,1.574,1.573,1.574,8785
2019-09-26 13:39:00,1.574,1.575,1.574,1.575,5474
2019-09-26 13:40:00,1.575,1.576,1.574,1.576,6537
2019-09-26 13:41:00,1.576,1.576,1.574,1.575,12026
2019-09-26 13:42:00,1.576,1.576,1.575,1.576,6320
2019-09-26 13:43:00,1.576,1.577,1.576,1.577,4344
2019-09-26 13:44:00,1.577,1.577,1.576,1.576,9986
2019-09-26 13:45:00,1.576,1.576,1.575,1.575,16400
2019-09-26 13:46:00,1.575,1.575,1.572,1.572,10818
2019-09-26 13:47:00,1.572,1.574,1.572,1.574,9239
2019-09-26 13:48:00,1.574,1.575,1.574,1.575,10431
2019-09-26 13:49:00,1.575,1.575,1.574,1.575,3648
2019-09-26 13:50:00,1.574,1.576,1.574,1.574,6377
2019-09-26 13:51:00,1.574,1.574,1.574,1.574,2788
2019-09-26 13:52:00,1.575,1.575,1.574,1.574,1539
2019-09-26 13:53:00,1.573,1.574,1.573,1.573,3629
2019-09-26 13:54:00,1.572,1.573,1.5710000000000002,1.5710000000000002,7745
2019-09-26 13:55:00,1.5710000000000002,1.572,1.5710000000000002,1.5710000000000002,10028
2019-09-26 13:56:00,1.5710000000000002,1.572,1.5699999999999998,1.5710000000000002,9189
2019-09-26 13:57:00,1.5699999999999998,1.5710000000000002,1.5699999999999998,1.5699999999999998,14130
2019-09-26 13:58:00,1.5710000000000002,1.572,1.5699999999999998,1.572,1626
2019-09-26 13:59:00,1.5710000000000002,1.572,1.5710000000000002,1.572,4636
2019-09-26 14:00:00,1.572,1.573,1.5710000000000002,1.573,5215
2019-09-26 14:01:00,1.573,1.573,1.572,1.572,2743
2019-09-26 14:02:00,1.573,1.575,1.573,1.574,4365
2019-09-26 14:03:00,1.574,1.575,1.574,1.575,9559
2019-09-26 14:04:00,1.576,1.576,1.574,1.574,8963
2019-09-26 14:05:00,1.574,1.574,1.573,1.573,15087
2019-09-26 14:06:00,1.573,1.573,1.5699999999999998,1.5710000000000002,15702
2019-09-26 14:07:00,1.5710000000000002,1.5710000000000002,1.5699999999999998,1.5699999999999998,25229
2019-09-26 14:08:00,1.5699999999999998,1.5710000000000002,1.5699999999999998,1.5710000000000002,22923
2019-09-26 14:09:00,1.572,1.572,1.5699999999999998,1.5710000000000002,31075
